Layer,Code,Label,Priority,LDI,BK_Label,BC_BroadLabel
SOLRIS,81,Open Tallgrass Prairie ,SOLRIS,0.02,Grassland,Natural
SOLRIS,82,Tallgrass Savannah ,SOLRIS,0.02,Grassland,Natural
SOLRIS,83,Tallgrass Woodland ,SOLRIS,0.02,Grassland,Natural
SOLRIS,90,Forest ,SOLRIS,0.01,MixedForest,Natural
SOLRIS,91,Coniferous Forest ,SOLRIS,0.01,ConiferousForest,Natural
SOLRIS,92,Mixed Forest ,SOLRIS,0.01,MixedForest,Natural
SOLRIS,93,Deciduous Forest ,SOLRIS,0.01,BroadleafForest,Natural
SOLRIS,131,Treed Swamp ,SOLRIS,0,Wetland,Natural
SOLRIS,135,Thicket Swamp ,SOLRIS,0,Wetland,Natural
SOLRIS,140,Fen ,SOLRIS,0,Wetland,Natural
SOLRIS,150,Bog ,SOLRIS,0,Wetland,Natural
SOLRIS,160,Marsh ,SOLRIS,0,Wetland,Natural
SOLRIS,170,Open Water ,SOLRIS,0,Water,Natural
SOLRIS,191,Plantations – Tree Cultivated ,SOLRIS,0.03,MixedForest,Agricultural
SOLRIS,192,Hedge Rows ,SOLRIS,0.04,MixedForest,Natural
SOLRIS,193,Tilled ,SOLRIS,0.25,MixedAgriculture,Agricultural
SOLRIS,201,Transportation ,SOLRIS,0.9,Transportation,Urban
SOLRIS,202,Built-Up Area - Pervious ,SOLRIS,0.3,UrbanLow,Urban
SOLRIS,203,Built-Up Area - Impervious ,SOLRIS,0.75,UrbanHigh,Urban
SOLRIS,204,Extraction - Aggregate ,SOLRIS,0.45,ExposedLandBarren,NonNatural
SOLRIS,205,Extraction - Peat/Topsoil ,SOLRIS,0.45,ExposedLandBarren,NonNatural
SOLRIS,250,Undifferentiated ,SOLRIS,0.25,MixedAgriculture,Agricultural
